,,,0,0,0
ABC,ALBUM,MONITORS & TV,221.73,310.06,60
ABC,BASEBALL CAP,LAPTOP COMPUTERS,234.32,338.42,36
ABC,BASKETBALL,MISCELLANEOUS,120.13,168.14,23
ABC,BATTERIES,CELL PHONE,72.19,89.47,117
ABC,BATTERY PACK,CLOTHING,94.74,133.99,58
ABC,BLANKET,MISCELLANEOUS,129.05,140.99,29
ABC,BLENDER,MONITORS & TV,77.43,105.89,117
ABC,BOOK,ACCESSORIES,57.02,64.18,106
ABC,BOTTLE OF SODA,LAPTOP COMPUTERS,157.99,190.01,105
ABC,BOWTIE,MISCELLANEOUS,112.39,139.32,20
ABC,BOX,SMART WATCH,128.17,179.5,152
ABC,BRACELET,SMART WATCH,183.73,228.82,68
ABC,CALCULATOR,SPORTS,6.56,9.01,140
ABC,CAR,LAPTOP COMPUTERS,293.83,389.1,25
ABC,CLEATS,MONITORS & TV,103.5,109.57,82
ABC,COFFEE MUG,SMART WATCH,80.08,94.57,50
ABC,COLOGNE,MISCELLANEOUS,235.9,307.1,65
ABC,COLORED PENCILS,CLOTHING,289.04,341.15,158
ABC,COMB,CLOTHING,200.81,246.48,21
ABC,CRACKERS,SPORTS,13.99,16.28,68
ABC,DESK,SPORTS,71.74,80.39,29
ABC,DRILL,CELL PHONE,220.81,276.62,103
ABC,DRILL BITS,CELL PHONE,255.95,312.69,72
ABC,ERASER,MONITORS & TV,55.11,59.42,151
ABC,FISHING ROD,LAPTOP COMPUTERS,231.46,243.93,185
ABC,FLATSCREEN TV,LAPTOP COMPUTERS,199.37,273.75,151
ABC,FLIP PHONE,LAPTOP COMPUTERS,29.89,31.43,125
ABC,FLUTE,CELL PHONE,191.78,203.15,156
ABC,FOOTBALL,CLOTHING,120.91,153.3,270
ABC,FORK,MONITORS & TV,294.34,403.22,161
ABC,FRISBEE,MISCELLANEOUS,273.68,360.22,98
ABC,GLASSES,SPORTS,174.77,187.87,103
ABC,GLOVES,ACCESSORIES,155.65,189.05,60
ABC,GPS,MISCELLANEOUS,170.12,237.33,96
ABC,HAIR GEL,SMART WATCH,116.02,139.95,175
ABC,HAMMER,MONITORS & TV,32.9,42.71,152
ABC,HAND TOWEL,CELL PHONE,18.15,25.23,56
ABC,HANDBAG,MISCELLANEOUS,41.64,45.36,39
ABC,HEADPHONES,MISCELLANEOUS,35.3,43.84,33
ABC,JACKET,CELL PHONE,226.11,322.61,67
ABC,JEANS,CELL PHONE,197.61,228.21,159
ABC,JERSEY,SMART WATCH,118.58,136.91,169
ABC,KEYBOARD,MONITORS & TV,121,132.53,87
ABC,KNIFE,SMART WATCH,186.01,262.83,189
ABC,LANYARD,CELL PHONE,26.56,32.82,54
ABC,LAPTOP,CELL PHONE,176.5,254.19,144
ABC,LAWN MOWER,SPORTS,124.18,178.39,146
ABC,LEMONADE,MONITORS & TV,104.86,127.21,159
ABC,LOTION,SMART WATCH,164.65,204.12,88
ABC,MECHANICAL PENCIL,CLOTHING,256.58,275.67,24
ABC,MODEL CAR,MONITORS & TV,164.65,183.26,40
ABC,MUSIC SOFTWARE,MISCELLANEOUS,262.67,331.91,122
ABC,NAILS,CLOTHING,170.79,243.08,101
ABC,NECKLACE,CLOTHING,208.31,289.65,186
ABC,PAN,CLOTHING,285.72,413.15,27
ABC,PAPER,SPORTS,198.65,228.24,57
ABC,PEN,SMART WATCH,258.46,342.3,83
ABC,PENCIL,MISCELLANEOUS,87.12,114.19,19
